input,ckpt,sample,protein,isotype,pcc,spearman,std_true
proc,holdout_breast_cancer,A1TNSL,CD3E,False,0.7720231617209623,0.8325625726902817,0.6660586595535278
proc,holdout_breast_cancer,A1TNSL,CD4,False,0.14484916652302174,0.326096977462059,0.3263619840145111
proc,holdout_breast_cancer,A1TNSL,CD40,False,-0.23796677489206738,0.04167871356734378,0.3236820101737976
proc,holdout_breast_cancer,A1TNSL,CD68,False,0.28506154272431944,0.2950555595872838,0.5548874139785767
proc,holdout_breast_cancer,A1TNSL,CD8A,False,0.7674574348015115,0.824386024663145,0.7114025354385376
proc,holdout_breast_cancer,A1TNSL,CEACAM8,False,0.35065613352838254,0.3800753669479031,1.4316502809524536
proc,holdout_breast_cancer,A1TNSL,CR2,False,0.20100672858688357,0.29417070301751086,0.30960702896118164
proc,holdout_breast_cancer,A1TNSL,CXCR5,False,0.5752306645867707,0.713486114651889,0.7084229588508606
proc,holdout_breast_cancer,A1TNSL,EPCAM,False,-0.04448714476885807,-0.017192857351570077,0.36791327595710754
proc,holdout_breast_cancer,A1TNSL,FCGR3A,False,0.03679160734143228,0.1577864691067822,2.3800911903381348
proc,holdout_breast_cancer,A1TNSL,HLA_DRA,False,0.6014523080927762,0.6620012334619795,0.7376915812492371
proc,holdout_breast_cancer,A1TNSL,ITGAM,False,0.2496188959383453,0.23545323822660227,0.49889442324638367
proc,holdout_breast_cancer,A1TNSL,ITGAX,False,0.13955524279729484,0.19629421035230138,0.4601469039916992
proc,holdout_breast_cancer,A1TNSL,KRT5,False,0.6976375824432371,0.7895832758120539,1.8581171035766602
proc,holdout_breast_cancer,A1TNSL,MS4A1,False,0.2135105063461496,0.3192659204087019,0.613613486289978
proc,holdout_breast_cancer,A1TNSL,PAX5,False,0.5016945744071896,0.6947090361657089,1.2572652101516724
proc,holdout_breast_cancer,A1TNSL,PCNA,False,0.5180349490331597,0.47840330184310487,0.5045199990272522
proc,holdout_breast_cancer,A1TNSL,PDCD1,False,0.43052005989603725,0.4840910479424967,0.37453770637512207
proc,holdout_breast_cancer,A1TNSL,PECAM1,False,0.552543750596497,0.5408995625170018,0.5309495329856873
proc,holdout_breast_cancer,A1TNSL,PTPRC_1,False,-0.061263783971965906,0.03188518367900161,0.31006091833114624
proc,holdout_breast_cancer,A1TNSL,PTPRC_2,False,0.3198412759652382,0.4498093137976084,0.5564631223678589
proc,holdout_breast_cancer,A1TNSL,SDC1,False,0.04021909510523862,0.09361926527345084,0.8716378808021545
proc,holdout_breast_cancer,A1TNSL,VIM,False,0.5882200698389093,0.6953130110800214,0.5282660722732544
proc,holdout_breast_cancer,A1TNSL,mouse_IgG1k,True,0.18555457249182855,0.22947834955024674,0.5338561534881592
proc,holdout_breast_cancer,A1TNSL,mouse_IgG2a,True,0.027365983745534634,0.07478539154435287,0.6250791549682617
