model,seed,sample,protein,spearman
mlp_64,1,D1TNSL,CD40,0.3381303463377634
mlp_64,1,D1TNSL,CD68,0.46735848066000496
mlp_64,1,D1TNSL,CD8A,0.7664071969308482
mlp_64,1,D1TNSL,CEACAM8,0.45641779828177476
mlp_64,1,D1TNSL,CR2,0.49128877037004914
mlp_64,1,D1TNSL,CXCR5,0.7156989065167462
mlp_64,1,D1TNSL,EPCAM,0.35262804422555316
mlp_64,1,D1TNSL,FCGR3A,0.1191560635134482
mlp_64,1,D1TNSL,HLA_DRA,0.6698668977709454
mlp_64,1,D1TNSL,ITGAM,0.2077782066548547
mlp_64,1,D1TNSL,ITGAX,0.3346747951670516
mlp_64,1,D1TNSL,KRT5,0.820360770848987
mlp_64,1,D1TNSL,MS4A1,0.4489953298354459
mlp_64,1,D1TNSL,PAX5,0.7872958248495426
mlp_64,1,D1TNSL,PCNA,0.5146616688135592
mlp_64,1,D1TNSL,PDCD1,0.4503306083932313
mlp_64,1,D1TNSL,PECAM1,0.7245954372401266
mlp_64,1,D1TNSL,PTPRC_1,0.1426070462920854
mlp_64,1,D1TNSL,PTPRC_2,0.49868760841091353
mlp_64,1,D1TNSL,SDC1,0.1974666798556704
mlp_64,1,D1TNSL,VIM,0.6462190805314837
mlp_64,2,A1LN,ACTA2,0.4083558431646827
mlp_64,2,A1LN,BCL2,0.40392948761092207
mlp_64,2,A1LN,CCR7,0.31041298577811965
mlp_64,2,A1LN,CD14,0.337499121281888
mlp_64,2,A1LN,CD163,0.4226724600040175
mlp_64,2,A1LN,CD19,0.5093014439636665
mlp_64,2,A1LN,CD27,0.1819985329710465
mlp_64,2,A1LN,CD274,-0.20323117654696995
mlp_64,2,A1LN,CD3E,0.7869717006101989
mlp_64,2,A1LN,CD4,0.0923724284934551
mlp_64,2,A1LN,CD40,-0.0074448790855605376
mlp_64,2,A1LN,CD68,-0.045256706252575045
mlp_64,2,A1LN,CD8A,0.5358045217107403
mlp_64,2,A1LN,CEACAM8,0.320674150450626
mlp_64,2,A1LN,CR2,-0.06916204850456989
mlp_64,2,A1LN,CXCR5,0.42535738865608125
mlp_64,2,A1LN,EPCAM,-0.023720287271427578
mlp_64,2,A1LN,FCGR3A,0.3225115364475491
mlp_64,2,A1LN,HLA_DRA,0.41870353391305554
mlp_64,2,A1LN,ITGAM,0.3606379836749571
mlp_64,2,A1LN,ITGAX,0.3325661246565559
mlp_64,2,A1LN,KRT5,-0.024804665839083657
mlp_64,2,A1LN,MS4A1,0.25804403507499724
mlp_64,2,A1LN,PAX5,0.4798338687679727
mlp_64,2,A1LN,PCNA,-0.1365593926519807
mlp_64,2,A1LN,PDCD1,-0.1941268722519004
mlp_64,2,A1LN,PECAM1,0.302118469079438
mlp_64,2,A1LN,PTPRC_1,0.25582354013204045
mlp_64,2,A1LN,PTPRC_2,0.43550446514448365
mlp_64,2,A1LN,SDC1,0.07447929231679691
mlp_64,2,A1LN,VIM,-0.20994858931704644
mlp_64,2,A1TNSL,ACTA2,0.8135724851203414
