experiment,fold,protein,spearman,kind
External GSE263617 (20 ep),holdout_tonsil,CEACAM8,-0.2111274270004048,marker
External GSE263617 (20 ep),holdout_tonsil,CR2,-0.0370135452217912,marker
External GSE263617 (20 ep),holdout_tonsil,CXCR5,0.297192001284324,marker
External GSE263617 (20 ep),holdout_tonsil,EPCAM,0.0529357038416465,marker
External GSE263617 (20 ep),holdout_tonsil,FCGR3A,-0.1129583346999306,marker
External GSE263617 (20 ep),holdout_tonsil,HLA_DRA,0.3659154657681659,marker
External GSE263617 (20 ep),holdout_tonsil,ITGAM,-0.0751823770269901,marker
External GSE263617 (20 ep),holdout_tonsil,ITGAX,0.2319759432352662,marker
External GSE263617 (20 ep),holdout_tonsil,KRT5,0.0276162594971136,marker
External GSE263617 (20 ep),holdout_tonsil,MS4A1,0.1927754683481663,marker
External GSE263617 (20 ep),holdout_tonsil,PAX5,0.2502970034665701,marker
External GSE263617 (20 ep),holdout_tonsil,PCNA,0.0898193702418415,marker
External GSE263617 (20 ep),holdout_tonsil,PDCD1,0.088838207103062,marker
External GSE263617 (20 ep),holdout_tonsil,PECAM1,0.6131782424956547,marker
External GSE263617 (20 ep),holdout_tonsil,PTPRC_1,-0.1392247940100384,marker
External GSE263617 (20 ep),holdout_tonsil,PTPRC_2,0.1517379677623561,marker
External GSE263617 (20 ep),holdout_tonsil,SDC1,0.0479845248892587,marker
External GSE263617 (20 ep),holdout_tonsil,VIM,0.207677973764281,marker
External GSE263617 (20 ep),holdout_tonsil,mouse_IgG1k,-0.0670931619929675,isotype
External GSE263617 (20 ep),holdout_tonsil,mouse_IgG2a,-0.0662295628993004,isotype
External GSE263617 (20 ep),holdout_tonsil,mouse_IgG2bk,-0.0507327607472763,isotype
External GSE263617 (20 ep),holdout_tonsil,rat_IgG2a,-0.0643470087609635,isotype
External GSE263617 (20 ep),holdout_tonsil,ACTA2,0.6556501816868755,marker
External GSE263617 (20 ep),holdout_tonsil,BCL2,-0.5731835382365256,marker
External GSE263617 (20 ep),holdout_tonsil,CCR7,-0.0096568409970107,marker
External GSE263617 (20 ep),holdout_tonsil,CD14,0.0998899382776719,marker
External GSE263617 (20 ep),holdout_tonsil,CD163,0.1692994959203803,marker
External GSE263617 (20 ep),holdout_tonsil,CD19,0.2996316204241395,marker
External GSE263617 (20 ep),holdout_tonsil,CD27,0.1676695431202569,marker
External GSE263617 (20 ep),holdout_tonsil,CD274,0.3408585730039997,marker
External GSE263617 (20 ep),holdout_tonsil,CD3E,0.5489046278867017,marker
External GSE263617 (20 ep),holdout_tonsil,CD4,-0.2196636215331858,marker
External GSE263617 (20 ep),holdout_tonsil,CD40,0.1489703802522173,marker
External GSE263617 (20 ep),holdout_tonsil,CD68,0.1255222364446618,marker
External GSE263617 (20 ep),holdout_tonsil,CD8A,0.0119340650151875,marker
External GSE263617 (20 ep),holdout_tonsil,CEACAM8,-0.3397023189529784,marker
External GSE263617 (20 ep),holdout_tonsil,CR2,-0.239696156697193,marker
External GSE263617 (20 ep),holdout_tonsil,CXCR5,0.5262146201847793,marker
External GSE263617 (20 ep),holdout_tonsil,EPCAM,0.2374567547941117,marker
External GSE263617 (20 ep),holdout_tonsil,FCGR3A,-0.1238275302251503,marker
External GSE263617 (20 ep),holdout_tonsil,HLA_DRA,0.3211429621420952,marker
External GSE263617 (20 ep),holdout_tonsil,ITGAM,-0.1488568569301343,marker
External GSE263617 (20 ep),holdout_tonsil,ITGAX,0.0867180958188381,marker
External GSE263617 (20 ep),holdout_tonsil,KRT5,0.6303340106733728,marker
External GSE263617 (20 ep),holdout_tonsil,MS4A1,0.1666616246951128,marker
External GSE263617 (20 ep),holdout_tonsil,PAX5,0.3993433787000454,marker
External GSE263617 (20 ep),holdout_tonsil,PCNA,0.2417237699360953,marker
External GSE263617 (20 ep),holdout_tonsil,PDCD1,0.4651245911446591,marker
External GSE263617 (20 ep),holdout_tonsil,PECAM1,0.6067764728422942,marker
External GSE263617 (20 ep),holdout_tonsil,PTPRC_1,0.1083194346374231,marker
External GSE263617 (20 ep),holdout_tonsil,PTPRC_2,0.2883891945432844,marker
External GSE263617 (20 ep),holdout_tonsil,SDC1,0.1699078343984573,marker
External GSE263617 (20 ep),holdout_tonsil,VIM,0.6804768156145264,marker
External GSE263617 (20 ep),holdout_tonsil,mouse_IgG1k,0.0326347917742946,isotype
External GSE263617 (20 ep),holdout_tonsil,mouse_IgG2a,-0.0140742563966906,isotype
External GSE263617 (20 ep),holdout_tonsil,mouse_IgG2bk,0.0500429900950745,isotype
External GSE263617 (20 ep),holdout_tonsil,rat_IgG2a,-0.0272611225949028,isotype
External GSE263617 (20 ep),holdout_tonsil,ACTA2,0.3733857074396482,marker
External GSE263617 (20 ep),holdout_tonsil,BCL2,-0.3050161827195327,marker
External GSE263617 (20 ep),holdout_tonsil,CCR7,-0.2018588551935733,marker
