section,protein,signature,n_genes,rho,p,rho_adj,p_adj,is_isotype
A,CD3E,Endo,6,0.14357233554289692,2.706014118546402e-10,0.2710071781443782,1.2712546406002564e-33,False
A,CD4,Endo,6,-0.11120407167941264,1.0561386197460723e-06,-0.22303653482106628,4.898071087622884e-23,False
A,CD40,Endo,6,-0.19945384392314952,1.1880811111364888e-18,-0.24847442126567368,2.3004380228304003e-28,False
A,CD68,Endo,6,-0.041646696512387144,0.0682970068742286,-0.2524593423657665,2.9468736001662057e-29,False
A,CD8A,Endo,6,0.21428163463725525,2.394085800376533e-21,0.2477424210071445,3.34213264437915e-28,False
A,CEACAM8,Endo,6,-0.15497533046997547,8.965613099504278e-12,-0.2753399399185512,1.0806493167341894e-34,False
A,CR2,Endo,6,-0.07442278802148358,0.0011106235128524572,-0.21348424150751227,3.3834867591194884e-21,False
A,CXCR5,Endo,6,-0.19097985299562847,3.338583011743434e-17,-0.25596853624565374,4.680291274307101e-30,False
A,EPCAM,Endo,6,-0.18134029798640788,1.2344637230584246e-15,-0.24407498269727793,2.1316763777219324e-27,False
A,FCGR3A,Endo,6,-0.045998161812220245,0.04403941529021968,0.11759320071875973,2.4274626539914403e-07,False
A,HLA_DRA,Endo,6,-0.2174667429550318,5.930214460748869e-22,-0.2882511060181565,5.333060853479953e-38,False
A,ITGAM,Endo,6,-0.2120635621980998,6.244872852604065e-21,-0.2343281711833108,2.528441092253596e-25,False
A,ITGAX,Endo,6,0.19265816094238677,1.7453940001332113e-17,0.2555530418810209,5.828181416440888e-30,False
A,KRT5,Endo,6,-0.1869583589220211,1.5416310296791234e-16,-0.28215470654158026,2.042863260484504e-36,False
A,MS4A1,Endo,6,-0.24162341460623224,7.231196651983852e-27,-0.27680891264203816,4.6376173995292114e-35,False
A,PAX5,Endo,6,-0.20192058744621286,4.371642611146914e-19,-0.27644619537842596,5.71767977618313e-35,False
A,PCNA,Endo,6,-0.15887806476630625,2.6301468102774136e-12,-0.26941925232341773,3.1024955036674784e-33,False
A,PDCD1,Endo,6,-0.18491769081527948,3.307365804444812e-16,-0.2305435419368307,1.5247209377589058e-24,False
A,PECAM1,Endo,6,0.1497514318824939,4.4112087008079984e-11,0.18223141074652155,8.91422211123236e-16,False
A,PTPRC_1,Endo,6,0.18822423773852776,9.559422652572334e-17,0.26796810476408683,6.974920194130653e-33,False
A,PTPRC_2,Endo,6,0.24301547385191302,3.620046794762352e-27,0.28428615891346665,5.769923932358185e-37,False
A,SDC1,Endo,6,-0.24861943184512197,2.1360552535329326e-28,-0.21936492830663284,2.554431364209224e-22,False
A,VIM,Endo,6,0.1284085732506644,1.6819552073667495e-08,0.25724094328941033,2.384873438010045e-30,False
A,mouse_IgG1k,Endo,6,0.2615686006332574,2.3405316546727663e-31,0.2621635767006363,1.6952128553373667e-31,True
A,mouse_IgG2a,Endo,6,0.10968790839337589,1.4799372623728119e-06,0.13168679975124128,7.1580158626184785e-09,True
A,mouse_IgG2bk,Endo,6,0.2332349835199551,4.262685699635081e-25,0.24184606894717428,6.47553217695649e-27,True
A,rat_IgG2a,Endo,6,-0.1899495652660625,4.956712510286048e-17,-0.2017200470891801,4.744117662551465e-19,True
A,ACTA2,Fibro,5,0.5082637170472097,1.904119955679065e-126,0.5505149459102461,2.371899665552082e-152,False
A,BCL2,Fibro,5,0.48919300964490764,6.715680774515818e-116,0.5672221417770908,1.1690926031764892e-163,False
A,CCR7,Fibro,5,-0.11646079656689323,3.168311564338558e-07,-0.23440718832464344,2.434512979058191e-25,False
A,CD14,Fibro,5,0.2412740410170805,8.59661475217528e-27,0.31365831072159867,4.972998141624721e-45,False
A,CD163,Fibro,5,0.2937601924407161,1.8287859136326825e-39,0.40164276476751487,3.16785480433056e-75,False
A,CD19,Fibro,5,-0.5263650264321429,4.2584407499279176e-137,-0.47399954016036505,5.816571285898643e-108,False
A,CD27,Fibro,5,0.47241478235824813,3.713295465462896e-107,0.47553765012492716,9.532531077549113e-109,False
A,CD274,Fibro,5,-0.3508921977005531,1.1931761342413817e-56,-0.48574118935706184,4.631904751900844e-114,False
A,CD3E,Fibro,5,0.4639976819467197,5.963048822385247e-103,0.5529168706462828,6.149156117237321e-154,False
A,CD4,Fibro,5,-0.3056460851205006,9.772323046103676e-43,-0.37843054273745913,2.563614276792337e-66,False
A,CD40,Fibro,5,-0.4932740388804949,4.225619975510719e-118,-0.5117022944154711,2.0215547226437177e-128,False
A,CD68,Fibro,5,-0.33636159934464166,6.366072038016587e-52,-0.5238503409744832,1.4048913935684942e-135,False
A,CD8A,Fibro,5,0.5413199716578458,2.1370982430599082e-146,0.5363104739508461,3.1411166121158213e-143,False
A,CEACAM8,Fibro,5,-0.43885838113589265,4.536427314488766e-91,-0.5252889497536047,1.9079244749422354e-136,False
A,CR2,Fibro,5,-0.3928962499811959,8.744838958474675e-72,-0.4989985676290485,3.0725329942204203e-121,False
A,CXCR5,Fibro,5,-0.47308307930273574,1.7012439414429218e-107,-0.4969595432465737,4.0946424210954754e-120,False
A,EPCAM,Fibro,5,-0.44344129632362184,3.6683236952877307e-93,-0.46283965099967933,2.2127571486652424e-102,False
A,FCGR3A,Fibro,5,0.09553665794812691,2.7920925261833904e-05,0.22666213245986827,9.312433882446322e-24,False
A,HLA_DRA,Fibro,5,-0.5495174801836147,1.0716571122906809e-151,-0.581232699402466,1.184109862911165e-173,False
A,ITGAM,Fibro,5,-0.4701743236206405,5.02056124441851e-106,-0.4532400474338922,9.593034321662461e-98,False
A,ITGAX,Fibro,5,0.5114492246491394,2.8296931104891806e-128,0.5361015050236719,4.246664238764087e-143,False
A,KRT5,Fibro,5,-0.5049936371789142,1.3680990881381447e-124,-0.5650366127645771,3.836308367914172e-162,False
A,MS4A1,Fibro,5,-0.5482464854330953,7.268093783777964e-151,-0.543573922513125,7.71301559297372e-148,False
A,PAX5,Fibro,5,-0.5102177703661317,1.4477436369013226e-127,-0.5446851381794852,1.4858026333042089e-148,False
A,PCNA,Fibro,5,-0.49473508115017156,6.7695501227116e-119,-0.5689328821719213,7.467637203906534e-165,False
A,PDCD1,Fibro,5,-0.4959369815827376,1.490714082495027e-119,-0.5048927670468685,1.5597710106784743e-124,False
A,PECAM1,Fibro,5,0.42294865508164037,4.731599244551027e-84,0.42625026124203297,1.7755485446606626e-85,False
A,PTPRC_1,Fibro,5,0.4646166301291043,2.9525521023314106e-103,0.4998581963106086,1.025743349613731e-121,False
A,PTPRC_2,Fibro,5,0.5706609402881686,4.5632743418764654e-166,0.5744052489257941,1.0095320833081964e-168,False
A,SDC1,Fibro,5,-0.4676282368485939,9.458961190285872e-105,-0.4072540322021375,1.730471450911777e-77,False
A,VIM,Fibro,5,0.44510630653910827,6.256781226602594e-94,0.53710812209907,9.916059933806337e-144,False
A,mouse_IgG1k,Fibro,5,0.5730658015709592,9.07576584932407e-168,0.5403519968455874,8.830813664096652e-146,True
A,mouse_IgG2a,Fibro,5,0.15357617266332227,1.3812142950911143e-11,0.16175043253316998,1.0457154505797142e-12,True
A,mouse_IgG2bk,Fibro,5,0.5169070867075607,1.880850666426785e-131,0.48807826674823596,2.649613426854061e-115,True
A,rat_IgG2a,Fibro,5,-0.37079546419808523,1.5302656087410778e-63,-0.352220235445371,4.285763641214727e-57,True
B,ACTA2,SCT,12,-0.41209430120403284,5.5054989423193044e-58,-0.4329570719265892,1.8359452764469415e-64,False
B,BCL2,SCT,12,-0.4088526080205031,5.0903823254172865e-57,-0.42139610855081194,8.115495627608208e-61,False
B,CCR7,SCT,12,0.15627757795150465,4.889321351917536e-09,0.17257961639611752,9.794013404713384e-11,False
B,CD14,SCT,12,-0.23481610227758087,7.89974701238361e-19,-0.21506900494369563,5.61407313317394e-16,False
B,CD163,SCT,12,-0.4403585134430097,7.153826553873555e-67,-0.45789673634274286,7.975922436873116e-73,False
B,CD19,SCT,12,0.2736816837523321,2.9869418802867735e-25,0.29858009190489265,5.886571750987165e-30,False
B,CD27,SCT,12,-0.33644586320348013,4.704426225802796e-38,-0.3232343575120992,4.2752606868479083e-35,False
B,CD274,SCT,12,0.48469986399404147,1.2768981517673412e-82,0.5124236134315319,1.0328601726838983e-93,False
B,CD3E,SCT,12,-0.38169556938840093,2.4592269757162393e-49,-0.393366815389758,1.500882754066092e-52,False
B,CD4,SCT,12,0.37816087892105876,2.1819251860482702e-48,0.38831465383287683,3.835095112106103e-51,False
B,CD40,SCT,12,0.2927370419926065,8.259833495537924e-29,0.29724911526594094,1.080205812295293e-29,False
B,CD68,SCT,12,0.3904520596968728,9.802520019390299e-52,0.3851670818441304,2.807083555151138e-50,False
B,CD8A,SCT,12,-0.3548472354747106,2.0152366331742557e-42,-0.355075352796057,1.7714288095573545e-42,False
B,CEACAM8,SCT,12,0.4690607529564406,8.460196363286003e-77,0.503356467186931,5.6855296311630915e-90,False
B,CR2,SCT,12,0.3860992374737116,1.5603534354958285e-50,0.38953765024171794,1.7592480907966533e-51,False
B,CXCR5,SCT,12,0.3059151469264313,1.958240505736394e-31,0.2990797152153427,4.683135074263727e-30,False
B,EPCAM,SCT,12,0.3819641483911645,2.081054309944927e-49,0.3864577266753506,1.2442921350462433e-50,False
B,FCGR3A,SCT,12,-0.24546402639331946,1.764446761613045e-20,-0.213149034601426,1.0284993318187133e-15,False
B,HLA_DRA,SCT,12,0.40115756202143776,9.065442708577537e-55,0.4135637731284006,1.9925368958998093e-58,False
B,ITGAM,SCT,12,0.30079319900304125,2.1301144371103675e-30,0.29266892760448615,8.515039374061148e-29,False
B,ITGAX,SCT,12,-0.3857043213786247,2.001569046271988e-50,-0.3982718881750441,6.112542520117169e-54,False
B,KRT5,SCT,12,0.4346210775212955,5.3381440195962316e-65,0.4628806693252381,1.398646605979804e-74,False
B,MS4A1,SCT,12,0.35637671999751486,8.471506301301792e-43,0.36773544338126124,1.1682107742424726e-45,False
